players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
31,27.6,48.7,35,385,3150,35,50,39,89,47,3,6,62,3,49.5,44.8,34.5,79.3,646,1472,1.43,1.11,2.54,1.34,2.46,1.42,0.99,2.4,1.28,2.26,/en/squads/2b390eca/Athletic-Club-Stats
24,29.1,52.4,35,385,3150,35,60,45,105,54,6,7,73,3,55.8,50.5,40.6,91.0,683,1409,1.71,1.29,3.0,1.54,2.83,1.59,1.16,2.75,1.44,2.6,/en/squads/db3b9613/Atletico-Madrid-Stats
28,25.5,67.9,35,385,3150,35,92,68,160,86,6,7,60,3,86.0,80.4,64.9,145.3,798,2050,2.63,1.94,4.57,2.46,4.4,2.46,1.85,4.31,2.3,4.15,/en/squads/206d90db/Barcelona-Stats
35,28.3,52.6,35,385,3150,35,51,34,85,45,6,9,70,4,51.6,44.7,35.5,80.2,629,1366,1.46,0.97,2.43,1.29,2.26,1.48,1.01,2.49,1.28,2.29,/en/squads/fc536746/Real-Betis-Stats
30,27.7,53.1,36,396,3240,36,55,38,93,48,7,8,78,6,50.3,44.0,36.0,80.0,658,1563,1.53,1.06,2.58,1.33,2.39,1.4,1.0,2.39,1.22,2.22,/en/squads/f25da7fb/Celta-Vigo-Stats
27,26.0,39.7,35,385,3150,35,36,26,62,32,4,4,80,0,30.3,27.1,21.4,48.6,459,914,1.03,0.74,1.77,0.91,1.66,0.87,0.61,1.48,0.78,1.39,/en/squads/a8661628/Espanyol-Stats
30,28.4,42.6,35,385,3150,35,31,18,49,26,5,5,104,6,34.4,30.5,21.6,52.1,350,929,0.89,0.51,1.4,0.74,1.26,0.98,0.62,1.6,0.87,1.49,/en/squads/7848bd64/Getafe-Stats
29,28.4,56.9,36,396,3240,36,41,29,70,37,4,5,73,2,40.1,36.3,29.5,65.8,727,1630,1.14,0.81,1.94,1.03,1.83,1.11,0.82,1.93,1.01,1.83,/en/squads/9024a00a/Girona-Stats
30,27.6,50.1,36,396,3240,36,38,27,65,35,3,4,106,4,35.2,32.1,25.6,57.7,475,1143,1.06,0.75,1.81,0.97,1.72,0.98,0.71,1.69,0.89,1.6,/en/squads/0049d422/Las-Palmas-Stats
26,28.6,42.1,35,385,3150,35,34,24,58,29,5,7,79,6,31.4,25.9,19.8,45.8,370,925,0.97,0.69,1.66,0.83,1.51,0.9,0.57,1.46,0.74,1.31,/en/squads/7c6f2c78/Leganes-Stats
28,29.5,46.7,35,385,3150,35,32,23,55,28,4,5,74,6,37.2,33.3,25.7,59.0,445,1098,0.91,0.66,1.57,0.8,1.46,1.06,0.73,1.8,0.95,1.68,/en/squads/2aa12281/Mallorca-Stats
25,28.2,46.2,35,385,3150,35,41,23,64,32,9,9,84,0,40.6,34.3,26.6,61.0,517,1133,1.17,0.66,1.83,0.91,1.57,1.16,0.76,1.92,0.98,1.74,/en/squads/03c57e2b/Osasuna-Stats
26,30.0,51.9,35,385,3150,35,34,25,59,34,0,1,90,3,40.9,40.0,32.5,72.5,539,1253,0.97,0.71,1.69,0.97,1.69,1.17,0.93,2.09,1.14,2.07,/en/squads/98e8af82/Rayo-Vallecano-Stats
29,27.5,60.0,35,385,3150,35,72,50,122,62,10,13,56,4,68.1,58.2,48.8,107.0,888,1769,2.06,1.43,3.49,1.77,3.2,1.95,1.39,3.34,1.66,3.06,/en/squads/53a2f082/Real-Madrid-Stats
31,26.0,54.3,36,396,3240,36,31,20,51,28,3,3,84,4,39.6,37.2,29.5,66.7,613,1282,0.86,0.56,1.42,0.78,1.33,1.1,0.82,1.92,1.03,1.85,/en/squads/e31d1cd9/Real-Sociedad-Stats
35,26.9,50.8,36,396,3240,36,37,30,67,35,2,3,97,6,40.5,38.1,29.0,67.1,552,1121,1.03,0.83,1.86,0.97,1.81,1.12,0.81,1.93,1.06,1.86,/en/squads/ad2be733/Sevilla-Stats
32,25.5,47.8,35,385,3150,35,42,25,67,37,5,5,77,1,41.2,37.3,28.2,65.5,520,1255,1.2,0.71,1.91,1.06,1.77,1.18,0.81,1.98,1.06,1.87,/en/squads/dcc91a7b/Valencia-Stats
37,26.4,42.6,36,396,3240,36,26,15,41,21,5,5,90,5,32.6,28.8,23.8,52.5,452,948,0.72,0.42,1.14,0.58,1.0,0.91,0.66,1.57,0.8,1.46,/en/squads/17859612/Valladolid-Stats
